"","Year","Country","PPP","GDP","Population"
"1",2000,"Japan",155.11,474830.2,126926
"2",2000,"Sweden",9.14,2425.1,8872
"3",2000,"United_States",1,11558.8,282398
"4",2001,"Japan",149.86,476518.1,127133
"5",2001,"Sweden",9.35,2455.7,8896
"6",2001,"United_States",1,11668.4,285225
"7",2002,"Japan",143.77,477897.8,127401
"8",2002,"Sweden",9.35,2516.7,8925
"9",2002,"United_States",1,11875.7,287955
"10",2003,"Japan",139.82,485950.9,127635
"11",2003,"Sweden",9.34,2575.5,8958
"12",2003,"United_States",1,12207.1,290626
"13",2004,"Japan",134.16,497422.9,127734
"14",2004,"Sweden",9.11,2684.5,8994
"15",2004,"United_States",1,12670.8,293262
"16",2005,"Japan",129.55,503903,127755
"17",2005,"Sweden",9.38,2769.4,9030
"18",2005,"United_States",1,13095.4,295993
"19",2006,"Japan",124.86,512433.6,127839
"20",2006,"Sweden",9.09,2888.4,9081
"21",2006,"United_States",1,13444.6,298818
"22",2007,"Japan",120.22,523667.1,127980
"23",2007,"Sweden",8.89,2984.1,9148
"24",2007,"United_States",1,13685.2,301696
"25",2008,"Japan",116.85,518212.4,128046
"26",2008,"Sweden",8.77,2965.8,9220
"27",2008,"United_States",1,13645.5,304543
"28",2009,"Japan",116.35,489570.9,128034
"29",2009,"Sweden",8.96,2816.7,9299
"30",2009,"United_States",1,13263.1,307240
"31",2010,"Japan",112.42,512346.3,128043
"32",2010,"Sweden",9.07,3001.4,9379
"33",2010,"United_States",1,13595.6,309776
